EST,Fog,Hail,Heatindexm,Hum,Precipm,Pressurem
19961101-11:00,27 h,1010,0,0,5,West
19961101-12:00,32,-99999,0,0,,North
19961101-13:00,44,-99999,0,0,,North
19961101-14:00,41,1010,0,0,2,North
19961101-16:00,47,1011,0,0,1.2,North
19961101-17:00,56,1011,0,0,,North
19961101-18:00,60,1010,0,0,0.8,North
19961101-19:00,60,-99999,0,0,,North
19961101-20:00,68,-99999,0,0,,North
19961101-21:00,68,1010,0,,,North
19961101-22:00,68,1009,0,0,,North
19961101-23:00,64,1009,,,,North
19961102-00:00,-99999,,,,,
19961102-01:00,,,,,,North
19961102-02:00,52,1011,0,0,2,SSW
19961102-03:00,46,1012,0,0,3.5,WSW
19961102-04:00,44,1012,0,0,4.5,WSW
19961102-05:00,39,1012,0,0,5,WSW
19961102-06:00,32,1011,0,0,6,West
19961102-07:00,29,1010,0,0,7,WSW
